"DL Chandigarh","lawsdept@pu.ac.in"
"Amity Global Business school (AGBS), Chandigarh","info@chd.amity.edu"
"PGGC Chandigarh","principal@gc11.ac.in"
"Vidya Jyoti Eduversity","vjes.adms@gmail.com"
"IIFD Chandigarh","info@iifd.in"
"HMCH Chandigarh","Email not found"
"Fraser Valley India","ufv.india@ufv.ca"
"Sri Guru Gobind Singh College of Pharmacy","sggscop_26@yahoo.co.in"
"Sri Guru Gobind Singh College (SGGSC), Chandigarh","principal.sggs26@gmail.com"
"Indira Gandhi Institute of Aeronautics (IGIA), Chandigarh","chandigarh@igiaindia.in"
"Times Pro (TP), Chandigarh","arun.bhatia@timesgroup.com"
"PCET Chandigarh","director@pec.ac.in"
"UEI Global (UEI), Chandigarh","info@uei-global.com"
"PG Government College for Girls","gcg42chd@yahoo.com"
"Gian Sagar College of Physiotherapy","Email not found"
"Regional Institute of English","Email not found"
"GCCBA Chandigarh","gccbachd@hotmail.com"
"DR.S.S. BHATNAGAR UNIVERSITY INSTITUTE OF CHEMICAL ENGG. & TECH., PANJAB UNIVERSITY, CHANDIGARH.","dcet@pu.ac.in"
"RICM Chandigarh","rksricm@gmail.com"
"GGSCW Chandigarh","principalggscw@yahoo.in"
"ITFT Chandigarh","counsellor@itftindia.com"
"Sachdeva Engineering College for Girls","tpo.sec@gmail.com"
"DBS Chandigarh","dgc.admissions@gmail.com"
"Indo Global College Of Architecture","contact@igef.net"
"Bhavik College","info@bhavikcollege.com"
"DSCW Chandigarh","Email not found"
"Taaleem College of International Studies","admissions@taaleem.edu.in"
"ITTA Chandigarh","info@itta.in"
"Allied Institute of Hotel Management & Culinary Arts (AIHMCA), Chandigarh","aihmca_chd@yahoo.co.in"
"Gian Sagar Medical College & Hospital","Email not found"
"PGIMER Chandigarh","pgimer-chd@nic.in"
"Dr. Ambedkar Institute of Hotel Management Catering and Nutrition","aihm_chd@yahoo.com"
"DAV College (DAV), Chandigarh","Email not found"
"Panjab University","rsic@pu.ac.in"
"Chitkara School of Hospitality","info@chitkara.edu.in"
"Gian Jyoti Institute of Management and Technology, Mohali","gjimt@gjimt.com"
"GMCH Chandigarh","dpgmch-chd@gmch.gov.in"
"CIHM Chandigarh","cihm42@gmail.com"
"Government College of Education (GCE), Chandigarh","gcechd@yahoo.co.in"
"Aryans Group Of Colleges","anshukataria@gmail.com"
