"St. Stephens School","stephens45chd@gmail.com"
"Guru Nanak Public School","info@oneschool.biz"
"St. Xaviers Senior Secondary School","stxavier44c@gmail.com"
"St. Josephs Senior Secondary School","stjoseph_sss@yahoo.co.in"
"The New Public School","info@npschd.com"
"SRI GURU GOBIND SINGH PUBLIC SCHOOL","sggs.pub35@gmail.com"
"St. Stephens School","roydasilva@hotmail.com"
"Ishwar Singh Dev Samaj Senior Secondary School","isdevsamaj21@gmail.com"
"BHAVANS VIDYALAYA JUNIOR WING","bvbjr_chd@yahoo.com"
"MOTI RAM ARYA SR SEC MODEL SCHOOL","mraschool@yahoo.com"
"DELHI PUBLIC SCHOOL","dpschd40@yahoo.com"
"SHISHU NIKETAN PUBLIC SCHOOL","contact@shishuniketan43.com"
"Shri Kulwant Rai Sarvhitkari Vidya Mandir","krsvm.43chd@yahoo.com"
"RYAN INTERNATIONAL SCHOOL","ris.chandigarh@ryangroup.org"
"St Peters Senior Secondary School","info@stpeterchd.com"
"SRI GURU HARKRISHAN MODEL SCHOOL","sghms38@gmail.com"
"GURUKUL GLOBAL SCHOOL","principal@gurukulglobalschool.co.in"
"VIVEK HIGH SCHOOL","vivek@vivekhighschool.in"
"BAL NIKETAN MODEL SCHOOL","balniketan37@rediffmail.com"
"Strawberry Fields High School","contact@sfhs.in"
"D A V PUBLIC SCHOOL","davps8chd@yahoo.com"
"THE BRITISH SCHOOL","tbschd@thebritishschool.org"
"SAINT SOLDIER INTERNATIONAL SCHOOL","ssis_ssis28@yahoo.com"
"Stepping Stones Senior Secondary School","stepps_chd@yahoo.co.in"
"SAINT KABIR PUBLIC SCHOOL","contact@stkabir.co.in"
"Doon International School","dismohali@rediffmail.com"
"Learning Paths School","contact@learningpaths.in"
"Yadavindra Public School","info@ypschd.com"
"Manav Mangal Smart School(Junior)","mmss91@manavmangalschool.com"
"MANAV MANGAL SMART SCHOOL","principal@manavmangalschool.com"
"Manav Rachna International School","counselor.mrismohali@mris.edu.in"
"SMART WONDERS SCHOOL","Smartwonders_school@hotmail.com"
"RYAN INTERNATIONAL SCHOOL","ris.mohali@ryangroup.org"
"GILLCO INTERNATIONAL SCHOOL","info@gillcoschool.com"
"THE MILLENNIUM SCHOOL","millenniumschoolmohali@gmail.com"
"VIVEK HIGH SCHOOL","vivekhi70@gmail.com"
"SHEMROCK SR SEC SCHOOL","mohali@shemrockschool.com"
"THE BRITISH SCHOOL","tbsmohali@thebritishschool.org"
"SHIVALIK PUBLIC SCHOOL","shivalik6mohali@gmail.com"
"GIAN JYOTI GLOBAL SCHOOL","admissions@gjgs.ac.in"
"PARAGON SENIOR SECONDARY SCHOOL","paragonsss69@gmail.com"
"SANT ISHER SINGH PUBLIC SCHOOL","santishersinghpublicschool7@gmail.com"
"MOUNT CARMEL SCHOOL","mountcarmelmohali@gmail.com"
"Saupins School Mohali","supinsm@gmail.com"
"GOLDEN BELLS PUB SCHOOL","goldenbells2k2@hotmail.com"
"THE KNOWLEDGE BUS GLOBAL SCHOOL","info.mohali@tkbglobalschools.com"
"MIND TREE SCHOOL","mindtreemohali@gmail.com"
"ST. SOLDIER INT CONVENT SCHOOL","stsoldierm@rediffmail.com"
"GEM PUBLIC SCHOOL","contact@gempublicschool.org"
"ASHMAH INTERNATIONAL SCHOOL","info@ashmahinternationalschool.com"
"SHEMFORD Futuristic School","pinjore@shemford.com"
"HANSRAJ PUBLIC SCHOOL","principalhps6@gmail.com"
"Satluj Public School","satlujjunior@gmail.com"
"MANAV MANGAL SCHOOL","manavmangalpkl.11@gmail.com"
"Roots Country School Panchkula","panchkula@rootscountryschool.com"
"St. Xavier's High School","office.stxaviers.panchkula@gmail.com"
"DOON PUBLIC SCHOOL","doon@doonpublicschoolpkl.com"
"Aravali International School, DLF valley Panchkula","info.panchkula@aravali.edu.in"
