Name, School Category, School Management, Email, 
"G.M.S.S.S. 18 C, CHANDIGARH-Municipal Corporations , CHANDIGARH, CHANDIGARH",Higher Secondary(1-12),N/A,ggmsss18.principal@gmail.com,Co-educational,operational,1 to 12,CHANDIGARH, CHANDIGARH,CHANDIGARH-Municipal Corporations
"G.M.S.S.S DHANAS, CHANDIGARH-Municipal Corporations , CHANDIGARH, CHANDIGARH",Higher Secondary(1-12),N/A,,Co-educational,operational,1 to 12,CHANDIGARH, CHANDIGARH,CHANDIGARH-Municipal Corporations
"KENDRIYA VIDYALAYA NO.2 3BRD CHANDIGARH (Code-1302), CHANDIGARH-Municipal Corporations ( Regional Office - Chandigarh ), Kendriya Vidyalaya Sangathan",Higher Secondary(1-12),Kendriya Vidyalaya,chandigarh3brd@gmail.com,Co-educational,operational,1 to 12,Kendriya Vidyalaya Sangathan, Chandigarh,CHANDIGARH-Municipal Corporations
"KENDRIYA VIDYALAYA SEC-29 OCF CHANDIGARH (Code-1301), CHANDIGARH-Municipal Corporations ( Regional Office - Chandigarh ), Kendriya Vidyalaya Sangathan",Higher Secondary(1-12),Kendriya Vidyalaya,kvocf29chd@gmail.com,Co-educational,operational,1 to 12,Kendriya Vidyalaya Sangathan, Chandigarh,CHANDIGARH-Municipal Corporations
"KENDRIYA VIDYALAYA SEC-31 CHANDIGARH (Code-1304), CHANDIGARH-Municipal Corporations ( Regional Office - Chandigarh ), Kendriya Vidyalaya Sangathan",Higher Secondary(1-12),Kendriya Vidyalaya,kvsec31@gmail.com,Co-educational,operational,1 to 12,Kendriya Vidyalaya Sangathan, Chandigarh,CHANDIGARH-Municipal Corporations
"JAWAHAR NAVODAYA VIDYALAYA SEC 25, CHANDIGARH-Municipal Corporations ( Regional Office - Chandigarh ), Navodaya Vidyalayas Samiti",Higher Secondary(6-12),Jawahar Navodaya Vidyalaya,jnvchandigarh@gmail.com,Co-educational,operational,6 to 12,Navodaya Vidyalayas Samiti, Chandigarh,CHANDIGARH-Municipal Corporations
"GGHS BHATTU KALAN, BHATTU KALAN , FATEHABAD, HARYANA",Secondary/Sr. Sec.(6-10),N/A,gghsbhattukalan@gmail.com,Girls,operational,6 to 10,HARYANA, FATEHABAD,BHATTU KALAN
"GGHS GUDIANI, NAHAR , REWARI, HARYANA",Secondary/Sr. Sec.(6-10),N/A,,Girls,operational,6 to 10,HARYANA, REWARI,NAHAR
"GGMSSS FATEHABAD, Fatehabad_Notified Area Council , FATEHABAD, HARYANA",Higher Secondary(6-12),N/A,ggsss3275@gmail.com,Girls,operational,6 to 12,HARYANA, FATEHABAD,Fatehabad_Notified Area Council
"GGSSS ALAWALPUR, PRITHLA , PALWAL, HARYANA",Higher Secondary(6-12),N/A,,Girls,operational,6 to 12,HARYANA, PALWAL,PRITHLA
